PuzzleID,FEN,Moves,Rating,Popularity,Themes,Opening,Display Theme,Tags
opening_00001 Italian Game (Giuoco Piano),rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,,,development mainline white,italian_game,,OCP::00_Openings_Defences::development OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00002 Italian Game (Giuoco Piano),rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,,,development mainline white,italian_game,,OCP::00_Openings_Defences::development OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00003 Italian Game (Giuoco Piano),rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,,,development mainline white,italian_game,,OCP::00_Openings_Defences::development OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00004 Italian Game (Giuoco Piano),rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Nc6,,,development mainline white,italian_game,,OCP::00_Openings_Defences::development OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00005 Italian Game (Giuoco Piano),r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Bc4,,,development mainline white,italian_game,,OCP::00_Openings_Defences::development OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00006 Italian Game (Giuoco Piano),r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Bc5,,,development mainline white,italian_game,,OCP::00_Openings_Defences::development OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00007 Italian Game (Giuoco Piano),r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d3,,,development mainline white,italian_game,,OCP::00_Openings_Defences::development OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00008 Italian Game (Giuoco Piano),r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,d6,,,development mainline white,italian_game,,OCP::00_Openings_Defences::development OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00009 Italian Game (Giuoco Piano),r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,Nbd2,,,development mainline white,italian_game,,OCP::00_Openings_Defences::development OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00010 Italian Classical,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00011 Italian Classical,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00012 Italian Classical,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00013 Italian Classical,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Nc6,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00014 Italian Classical,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Bc4,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00015 Italian Classical,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Bc5,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00016 Italian Classical,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,c3,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00017 Italian Classical,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4,Nf6,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00018 Italian Classical,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5,d3,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00019 Italian Classical,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq - 0 5,d6,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00020 Italian Classical,r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq - 0 6,Nbd2,,,center mainline white,italian_game,,OCP::00_Openings_Defences::center OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00021 Fried Liver Attack,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
opening_00022 Fried Liver Attack,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
opening_00023 Fried Liver Attack,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,,,tactical trap white,italian_game,,OCP::00_Openings_Defences::Italian_Game OCP::00_Openings_Defences::tactical OCP::00_Openings_Defences::trap OCP::00_Openings_Defences::white
